incident_id,date,date_precision,time_of_day,time_local,location,country,shape,size,color,object_count,behavior,duration,sensors,witness_count,witness_types,agencies,n_agencies,n_source_docs,n_records_merged,explanation_status,confidence,summary,source_docs
INC-0011,1944-12-22,day,night,06:00,Hagenau,France,,,orange,2,followed aircraft; peeled off; leveled off,,visual,,military-pilot,415th Night Fighter Squadron,1,1,1,not-assessed,high,Two lights with an orange glow followed the aircraft for two minutes before peeling off.,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
INC-0012,1944-12-23,day,night,,,,,,reddish,,,,visual,,military-pilot,415th Night Fighter Squadron,1,1,1,not-assessed,high,"Pilot observed reddish colored flames at 10,000 feet.",331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
INC-0013,1944-12-23,day,night,,Point X (Q6745),,,,red,,shot straight up; wing over; dive,,visual,,military-pilot,415th Night Fighter Squadron,1,1,1,not-assessed,high,"Glowing red object shot straight up, performed a wing-over, and dove.",331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
INC-0014,1944-12-26,day,night,01:45,Q-9050 and R-1556,,,,"yellow, red",,flying; prop wash,,visual,,military-pilot,415th Night Fighter Squadron,1,1,1,not-assessed,high,Two yellow streaks of flame and red balls of fire observed; pilot felt prop wash.,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
INC-0015,1944-12-26,day,night,,,,,,white,,stationary,,visual,,military-pilot,415th Night Fighter Squadron,1,1,1,not-assessed,high,"Airborne white lights observed staggered vertically, appearing stationary.",331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
INC-0016,1944-12-26,day,night,,Worms,,,,,,followed aircraft; pulled up rapidly,,visual,,military-pilot,415th Night Fighter Squadron,1,1,1,not-assessed,high,Light approached within 100 feet and followed the aircraft for 5 minutes.,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
INC-0017,1944-12-27,day,night,,Q-1378,,,,orange,,moving slowly,,visual,,military-pilot,415th Night Fighter Squadron,1,1,1,not-assessed,high,Orange lights suspended in air moving slowly.,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
INC-0018,1944-12-27,day,night,19:10,Luneville,France,,,red and white,,closing in,,visual,,military-pilot,415th Night Fighter Squadron,1,1,1,not-assessed,high,Three sets of red and white lights closed in on aircraft.,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
INC-0019,1944-12-30,day,night,,,,,,,,flying,,visual,,military-pilot,415th Night Fighter Squadron,1,1,1,not-assessed,high,Group of lights observed flying through the air.,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
INC-0020,1945,year,evening,evening,"Habberbishophiem, Germany",Germany,unknown,,,1,spiraling,,visual,1,unknown,Department of War,1,1,1,unexplained,medium,Object observed descending in spiral motion.,38_143685_box7_incident_summaries_1-100
INC-0021,1945-01-01,day,morning,10:30,F-5710,,cylinder,"12 ft long, 1 ft diameter",aluminum,,floating; attacked; deflated,,visual; photo,,military-pilot,67th TAC/R Group,1,1,1,not-assessed,high,"Aluminum colored cylinder observed at 9,000 feet; attacked and partially deflated.",331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
INC-0022,1945-01-14,day,night,20:00,Ingweiller,,,5 ft diameter,orange,,,,visual,,military-pilot,415th Night Fighter Squadron,1,1,1,not-assessed,high,Large orange glow observed in the sky.,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
INC-0023,1945-01-29,day,night,00:10,Weissembourg and Landau,,,1 ft diameter,amber,2,following,,visual,,military-pilot,415th Night Fighter Squadron,1,1,1,not-assessed,high,Two amber lights observed following the aircraft.,331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents
INC-0024,1945-10-04,day,afternoon,1430,"Dayton, Ohio",USA,teardrop,1-1/2 feet long,silver or silvery white,3,gradual descent,1 second,visual,2,military-pilot,Department of War,1,1,1,not-assessed,medium,Teardrop-shaped metallic objects observed from C-47.,38_143685_box7_incident_summaries_173-233
INC-0025,1945-10-31,day,night,0230,Azores,Portugal,flat round,unknown,pale yellow or light orange,1,weaving; swinging,3 to 5 minutes,visual,1,military-other,Department of War,1,1,2,not-assessed,high,Flat round object weaving overhead.,38_143685_box7_incident_summaries_173-233; 38_143685_box7_incident_summaries_173-233
INC-0026,1945-11-17,day,afternoon,1430,Clark AF Base,Philippines,irregular mass,,white,1,looping,3 minutes,visual,2,military-pilot,Department of War,1,1,1,not-assessed,high,A white object resembling a flak burst with a corkscrew trail was observed.,38_143685_box7_incident_summaries_173-233
INC-0027,1945-11-29,day,night,2000,"Newburgh, New York",USA,ball,large,red,1,horizontal flight,2 seconds,visual,3,civilian,Department of War,1,1,1,not-assessed,medium,A red ball of fire with a tail was observed moving east to west.,38_143685_box7_incident_summaries_173-233
INC-0028,1945-12-12,day,night,2100,"Bernal, New Mexico",USA,ball,5 arc minutes,bright green,1,horizontal flight; curvature downward,2.1-2.3 seconds,visual,5,scientist; military-other; federal-le,Department of War,1,1,1,not-assessed,high,A bright green fireball moved horizontally before exploding into fragments.,38_143685_box7_incident_summaries_173-233
INC-0029,1946,year,unknown,,,Sweden,,,,,,,,,,CIA,1,1,1,not-assessed,low,Reference to a historical UFO sighting in Sweden.,pursue-r3--cia-uap-014
INC-0030,1946-09,month,unknown,,"Rehoboth Beach, Delaware",USA,projectile,15 inches,,1,spurting flame; high speed,,visual,1,civilian,FBI,1,1,1,not-assessed,high,Horace P. Wenyon observed a projectile crossing his course at high speed.,65_hs1-834228961_62-hq-83894_section_2
INC-0031,1946-10-31,day,afternoon,1545,"Goose Bay, Labrador",Canada,unknown,unknown,unknown,1,unknown,unknown,radar,3,military-other,Department of War,1,1,1,not-assessed,high,Radar target detected at Goose Bay.,38_143685_box7_incident_summaries_173-233
INC-0032,1946-11,month,unknown,,"Jefferson, Oregon",USA,,,,,formation,,photo,,civilian,USAF,1,1,1,explained,medium,"Photographs taken by Mary L. Herren in the vicinity of Jefferson, Oregon, showing objects in the sky.",18_100754_general_1946-7_vol_2
INC-0033,1946-12,month,unknown,unknown,Northern Arizona,USA,unknown,,white,1,straight flight,,visual,1,scientist,Department of War,1,1,1,unexplained,low,White vapor trail observed at high altitude.,38_143685_box7_incident_summaries_1-100
INC-0034,1947,year,night,2200,"Vaughn, New Mexico",USA,ball,1 foot,bright white to fiery red,1,vertical descent,,visual,1,military-other,Department of War,1,1,1,not-assessed,high,A ball of light descended vertically and exploded into sparks.,38_143685_box7_incident_summaries_173-233
INC-0035,1947-01-16,day,night,2230,"North Sea to Norfolk, UK",UK,,,,1,controlled evasive action,,radar; visual,1,military-pilot,RAF,1,1,1,unexplained,high,Mosquito aircraft vectored onto unidentified aircraft.,65_hs1-834228961_62-hq-83894_serial_130
INC-0036,1947-04,month,unknown,1100,"Richmond, Virginia",USA,ellipse,,metallic silver,1,level flight,,visual,2,civilian,Department of War,1,1,1,unexplained,high,Metallic disc observed below weather balloon.,38_143685_box7_incident_summaries_1-100
INC-0037,1947-05,month,evening,2030,"Oklahoma City, Oklahoma",USA,disc,bulk of six B-29s,frosty white,1,straight flight; swishing sound; moving toward observer,,visual,1,military-pilot; civilian,Department of War; FBI; USAF,3,3,3,unexplained,high,Frosty white disc observed moving at high speed.,38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_section_3; 65_hs1-834228961_62-hq-83894_serial_130
INC-0038,1947-05-05,day,afternoon,,"Between Ellensburg and Seattle, Washington",USA,,,silver,1,nose dive; disintegrated,,visual,3,civilian,FBI,1,1,1,not-assessed,medium,Warden John Henry observed a silver object disintegrate over Washington state.,65_hs1-834228961_62-hq-83894_section_3
INC-0039,1947-05-19,day,midday,1215,"Manitou Springs, Colorado",USA,unknown,,silver,1,climbing; diving; reversal of direction,,visual,3,civilian,Department of War; USAF,2,2,2,unexplained,high,Silver object observed climbing and diving.,38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_serial_130
INC-0040,1947-06-12,day,evening,1815,"Weiser, Idaho",USA,unknown,,glistening,2,shooting up and down,,visual,2,civilian,Department of War,1,1,1,unexplained,high,Tiny object emitting vapor observed shooting up and down.,38_143685_box7_incident_summaries_1-100
INC-0041,1947-06-14,day,midday,1200,"Portland, Oregon",USA,flying flapjack,,,10,V-formation,,visual,1,military-pilot,Department of War,1,1,1,unexplained,high,Ten objects in V-formation observed.,38_143685_box7_incident_summaries_1-100
INC-0042,1947-06-14,day,midday,1200,"Bakersfield, California",USA,disc,unknown,silver,10,flying in formation; oscillating; V-formation; flying north then south,,visual,1,military-pilot; civilian,FBI; USAF,2,2,2,unexplained,high,"Observation of ten flying discs in formation over Bakersfield, CA.",65_hs1-834228961_62-hq-83894_section_1; 65_hs1-834228961_62-hq-83894_serial_130
INC-0043,1947-06-21,day,midday,1200,"Spokane, Washington",USA,disc,100 feet across,shiny silvery,1,flashing; hovering; fluttering; dropping debris,,visual,1,civilian,Department of War; FBI,2,2,2,unexplained,high,Shiny object observed flashing intermittently.,38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_section_3
INC-0044,1947-06-22,day,morning,1130,"Greenfield, Massachusetts",USA,round,small,silvery-white,1,moving fast in straight line,,visual,1,civilian,USAF,1,1,1,unexplained,high,Silvery-white object observed moving fast.,65_hs1-834228961_62-hq-83894_serial_130
INC-0045,1947-06-24,day,afternoon,1500,"Mt. Ranier, Washington",USA,circular,30 feet,mirror-like,9,swerving; dipping; hovering; banking; banking in the sun; flying in a chain-like line; swerved in and out of mountain peaks; shifting; formation flight; flashing; flying in chain-like line; standing on edge,45 to 60 seconds,visual,1,military-pilot; government-civilian; civilian,Department of War; FBI; US Army Air Forces; USAF,4,4,9,unexplained,high,Nine mirror-like craft observed in a diagonal chain-like line.,38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_section_2; 65_hs1-834228961_62-hq-83894_section_2; 65_hs1-834228961_62-hq-83894_section_3; 65_hs1-834228961_62-hq-83894_section_3; 65_hs1-834228961_62-hq-83894_serial_130; 65_hs1-834228961_62-hq-83894_serial_130
INC-0046,1947-06-24,day,unknown,,,,,,,,,,,,,CIA,1,1,1,not-assessed,medium,Kenneth Arnold sighting of nine saucers,pursue-r3--cia-uap-019
INC-0047,1947-06-28,day,afternoon,1543,"Rockfield, Wisconsin",USA,saucer,36 inches,white,7-10,flying; zig-zag; flying very smoothly; close formation; bursts of speed; steady flight; no noise,,visual,1,civilian; military-pilot; military-other; unknown,Department of War; US Army Air Forces; USAF; FBI,4,4,8,unexplained,high,Seven to ten saucer-shaped objects observed flying south.,38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_section_2; 65_hs1-834228961_62-hq-83894_serial_130; 65_hs1-834228961_62-hq-83894_serial_130; 65_hs1-834228961_62-hq-83894_section_4; 38_143685_box7_incident_summaries_1-100
INC-0048,1947-06-29,day,afternoon,1645,"Des Moines, Iowa",USA,inverted saucer,,dirty white,13,single file,,visual,1,civilian,Department of War,1,1,2,unexplained,high,Thirteen objects observed in single file formation.,38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100
INC-0049,1947-06-29,day,afternoon,1300,"Las Cruces, New Mexico",USA,uniform,,,1,horizontal flight,,visual,4,civilian,Department of War,1,1,1,unexplained,high,Uniform object observed moving horizontally.,38_143685_box7_incident_summaries_1-100
INC-0050,1947-06-30,day,morning,0910,"Grand Canyon, Arizona",USA,circular,8 feet in diameter,light gray,2,descending vertically; flying straight down; inconceivable speeds; descending straight down,,visual,1,military-pilot,Department of War; AAF; USAF,3,3,3,unexplained,high,Two circular light gray objects observed descending vertically.,38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_section_1; 65_hs1-834228961_62-hq-83894_serial_130
INC-0051,1947-06-30,day,afternoon,1745,"Boise, Idaho",USA,half-circled,,bright silvery,1,stationary,,visual,2,civilian,Department of War,1,1,1,unexplained,high,Half-circled bright object observed clinging to a cloud.,38_143685_box7_incident_summaries_1-100
INC-0052,1947-07,month,afternoon,,"Oak Ridge, Tennessee",United States,sphere,,,1,flying,,photo,1,civilian,FBI,1,2,2,explained,high,"Photographs taken by William Presley of an unidentified object over Oak Ridge, TN, were evaluated by the Air Force and determined to be a result of film defects (water or developer drops).",65_hs1-834228961_62-hq-83894_section_4; 65_HS1-834228961_62-HQ-83894_Serial_153
INC-0053,1947-07-03,day,afternoon,1530,"South Brooksville, Maine",USA,unknown,,light-colored,10,irregular movement; moving irregularly like a swarm of bees,,visual,1,scientist,Department of War; USAF,2,2,2,unexplained,high,Group of light-colored objects observed moving irregularly.,38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_serial_130
INC-0054,1947-07-03,day,evening,,"Minnesota Ave NE, Washington, D.C.",USA,dish,,golden,,swished over horizon,,visual,2,civilian,FBI,1,1,1,not-assessed,medium,Three dish-shaped objects observed flying over Washington D.C.,65_hs1-834228961_62-hq-83894_sub_a
INC-0055,1947-07-04,day,afternoon,1305,"Portland, Oregon",USA,round disc,unknown,aluminum,5,oscillating; dipping; 90-degree turn; following; fluttering; straight line formation; wobbling; disappearing and reappearing; fast flight; flipping; heading; flying; flying in formation; changing direction,,visual,1,federal-le; civilian,Department of War; CIC,2,2,10,unexplained,high,Five large discs observed dipping in an oscillating motion.,38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_section_1
INC-0056,1947-07-04,day,afternoon,1305,"Vancouver, Washington",USA,V-shaped,unknown,orange,20-30,V-formation; traveling at high speed,,visual,3,federal-le; civilian,Department of War; FBI,2,2,2,unexplained,high,Twenty to thirty objects in V-formation observed with humming sound.,38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_section_1
INC-0057,1947-07-04,day,evening,20:04,"Emmett, Idaho",USA,unknown,,,9,loose formation,,visual,3,military-pilot; civilian,Department of War,1,1,1,unexplained,high,Nine flying discs observed in loose formation by airline crew.,38_143685_box7_incident_summaries_1-100
INC-0058,1947-07-04,day,evening,evening,"Lake City, Seattle, Wash",USA,saucer or ball,,white,1,speeding; hovering,,visual; photo,2,federal-le; civilian,Department of War; FBI,2,2,2,unexplained,high,Saucer or ball shaped object observed overhead.,38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_section_1
INC-0059,1947-07-04,day,night,2345,"West Trenton, New Jersey",USA,flying saucer,,luminous,1,traveling,,visual,1,civilian,Department of War,1,1,1,unexplained,high,Luminous flying saucer observed traveling east.,38_143685_box7_incident_summaries_1-100
INC-0060,1947-07-04,day,night,,"Friendship Heights, MD",USA,saucer,,bluish,,traveling northward at rapid rate of speed,,visual,1,civilian,FBI,1,1,1,not-assessed,medium,Three or four flying saucers observed traveling north at high speed at night.,65_hs1-834228961_62-hq-83894_sub_a
INC-0061,1947-07-06,day,morning,,"Grafton, Wisconsin",USA,circular disc,18 inches,metallic,1,crashed; swishing; whirring; explosion,,visual,1,civilian,FBI,1,2,2,explained,high,"A circular metal disc, 18 inches in diameter, crashed into a church yard in Grafton, WI, making a swishing noise and a mild explosion.",65_hs1-834228961_62-hq-83894_section_1; 65_hs1-834228961_62-hq-83894_sub_a
INC-0062,1947-07-06,day,afternoon,unknown,"Hollywood, California",USA,saucer,,red,several,spinning; horizontal flight; criss-crossing rays,,visual,1,civilian; military-other,Department of War; USAF,2,2,3,unexplained,high,Saucer-shaped objects observed with ray phenomena.,38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_serial_130; 65_hs1-834228961_62-hq-83894_serial_130
INC-0063,1947-07-06,day,afternoon,1345,"Kansas City, Missouri",USA,round,,silvery,1,flying,,visual,1,military-pilot,Department of War,1,1,1,unexplained,high,Bright silvery disc observed flying in formation.,38_143685_box7_incident_summaries_1-100
INC-0064,1947-07-06,day,afternoon,,"Darlington, South Carolina",USA,disc,,,12,flying in formation,,visual,,civilian,FBI,1,1,1,not-assessed,medium,"Approximately 12 flying discs reported passing over Darlington, SC.",65_hs1-834228961_62-hq-83894_section_1
INC-0065,1947-07-06,day,night,2045,"Birmingham, Alabama",USA,round,size of a dining room table / dishpan,white / silver / red,7-10,arc flight; whirling; zig-zag; hovering; darting,,visual; photo,2,military-other; civilian,Department of War; FBI,2,2,2,unexplained,high,Seven to ten round objects observed traveling in an arc.,38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_serial_130
INC-0066,1947-07-07,day,morning,10:10,"Muroc Army Air Field, Muroc, California",USA,sphere,20 to 30 feet,yellowish white,1,oscillating; whirling; revolving; spiral; banked to the right; disappeared into clouds; steady flight; maneuvered to avoid; straight course; descended vertically; horizontal flight; circular maneuvers; forward whirling motion; losing altitude; flattened out in the air; high speed; maneuvering,,visual; photo,1,military-pilot; civilian; military-other; scientist,Department of War; FBI; USAF; AAF,4,6,28,unexplained,high,Yellowish white sphere observed oscillating in a forward whirling movement.,38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_section_2; 65_hs1-834228961_62-hq-83894_section_4; 65_hs1-834228961_62-hq-83894_serial_130; 65_hs1-834228961_62-hq-83894_serial_130; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; 65_hs1-834228961_62-hq-83894_section_2; 65_hs1-834228961_62-hq-83894_section_3; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087; pursue-r3--dow-uap-d087
INC-0067,1947-07-07,day,afternoon,1310,"Madisonville, Ky",USA,cone,,,1,moving,,visual,1,unknown,Department of War,1,1,1,unexplained,medium,Cone-shaped object observed moving slowly.,38_143685_box7_incident_summaries_1-100
INC-0068,1947-07-07,day,afternoon,1600,"Phoenix, Arizona",USA,elliptical,,grey,1,spiraling; ascending,,visual; photo,1,civilian,Department of War,1,1,1,unexplained,high,Elliptical object observed spiraling and ascending.,38_143685_box7_incident_summaries_1-100
INC-0069,1947-07-07,day,afternoon,1300,"Lakeland, Florida",USA,unknown,,glittery,5,climbing,,visual; photo,1,civilian,Department of War,1,1,1,unexplained,high,Five shiny objects observed climbing rapidly.,38_143685_box7_incident_summaries_1-100
INC-0070,1947-07-07,day,afternoon,,"West Rindge, New Hampshire",USA,disc,14 inches in diameter,,1,started fires; fragmented,,visual,several,civilian,FBI,1,1,1,partially-explained,high,"Observation of metallic fragments and small fires on a lawn in West Rindge, NH.",65_hs1-834228961_62-hq-83894_section_1
INC-0071,1947-07-07,day,evening,,"Shreveport, Louisiana",USA,circular disc,16 inches,aluminum,1,whirring; spouting fire,,visual,,civilian,FBI,1,1,1,not-assessed,high,"A circular disc observed whirring in the air with fire spouting from sides, landing in Shreveport, LA.",65_hs1-834228961_62-hq-83894_section_1
INC-0072,1947-07-07,day,night,2230,"Arlington, Virginia",USA,blob,,white,1,fast flight,,visual,1,military-other,Department of War,1,1,1,unexplained,high,Blob of light observed crossing at high speed.,38_143685_box7_incident_summaries_1-100
INC-0073,1947-07-07,day,night,,"Omaha, Nebraska",USA,circular disc,silver dollar,unknown,1,dropped; burning,,visual,,civilian,FBI,1,1,1,explained,high,"A flaming object dropped in the street in front of a house in Omaha, Nebraska, and was examined by the witness.",65_hs1-834228961_62-hq-83894_section_1
INC-0074,1947-07-08,day,morning,0930,"Muroc Air Field, Muroc, Calif",USA,disc-like or spherical,,silver,3,tight circle; moving north; oscillating; climbing; flying in circles; horizontal flight,,visual,7,military-other; government-civilian; military-pilot,Department of War; USAF,2,3,4,unexplained,high,"Two silver disc-like objects observed moving north at 8000 ft, followed by a third object performing tight circles.",38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_section_3; 65_hs1-834228961_62-hq-83894_serial_130
INC-0075,1947-07-08,day,midday,11:50,"Rogers Dry Lake, California",USA,ovular,,silvery,1,rotation; oscillation; falling,,visual,4,military-pilot; civilian,Department of War,1,1,1,unexplained,high,Rounded silvery object observed descending with rotation or oscillation.,38_143685_box7_incident_summaries_1-100
INC-0076,1947-07-08,day,unknown,,"Roswell, New Mexico",USA,hexagonal,20 feet diameter balloon,,1,suspended,,radar,,military-other,FBI,1,1,1,not-assessed,high,"A flying disc reported recovered near Roswell, New Mexico, described as hexagonal and suspended from a balloon.",65_hs1-834228961_62-hq-83894_section_1
INC-0077,1947-07-09,day,midday,unknown,"Boise, Idaho",USA,round,,black,1,barrel roll; erratic movement; slow roll,,visual; photo,1,military-pilot; civilian,Department of War; US Army Air Forces; USAF,3,3,3,unexplained,high,Round black object observed performing barrel roll.,38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_section_2; 65_hs1-834228961_62-hq-83894_serial_130
INC-0078,1947-07-09,day,afternoon,17:15,"Midland, Michigan",USA,ball,bushel basket,,1,burning; puff noise,,visual,2,civilian,FBI,1,1,1,not-assessed,medium,"Raymond and Laura Lane observed a ball of white fire burning near the ground, leaving fused sand.",65_hs1-834228961_62-hq-83894_section_2
INC-0079,1947-07-09,day,night,2330,"Grand Falls, Newfoundland",Canada,round,barrel head,phosphorescent,5,rocking motion; terrific speed,,visual,3,civilian; federal-le,Department of War; Newfoundland Constabulary,2,2,2,unexplained,high,Four round figures observed flying side by side.,38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_serial_130
INC-0080,1947-07-09,day,night,,"North Hollywood, California",USA,disc,30 inches in diameter,off-white,1,landed; burst into flames; belching smoke; emitting glare; burst into flame,,visual,unknown,civilian,FBI,1,2,3,explained,high,"Recovery of a metallic, disc-shaped object in North Hollywood, CA, reported to have landed and caught fire.",65_hs1-834228961_62-hq-83894_section_1; 65_hs1-834228961_62-hq-83894_sub_a; 65_hs1-834228961_62-hq-83894_section_1
INC-0081,1947-07-10,day,afternoon,1500,"Harmon Field, Newfoundland",Canada,unknown,size of a C-54,bluish,1,circular path; fast flight; shooting down; horizontal course; cut clouds open,,visual; photo,2,civilian,Department of War; USAF,2,2,4,unexplained,high,Bluish streak observed cutting through clouds.,38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 38_143685_box7_incident_summaries_1-100; 65_hs1-834228961_62-hq-83894_serial_130
INC-0082,1947-07-11,day,morning,1121,"Elmendorf Field, Alaska",USA,balloon,3 feet,aluminum,1,great speed,,visual,2,military-other,USAF,1,1,1,unexplained,high,Aluminum colored object observed moving at great speed.,65_hs1-834228961_62-hq-83894_serial_130
INC-0083,1947-07-11,day,dusk,0030Z,"Codroy, Newfoundland",Canada,disc / cone,barrel-head / dinner-plate,flame colored,1,high velocity,,visual,3,civilian,USAF,1,1,1,unexplained,high,Disc-shaped object observed at dusk with a cone-shaped trail.,65_hs1-834228961_62-hq-83894_serial_130
INC-0084,1947-07-11,day,unknown,,"Twin Falls, ID",USA,disc,,gold and silver,,planted as hoax,,visual,4,civilian,FBI,1,1,1,not-assessed,high,Four teenagers created a hoax flying saucer from juke box parts.,65_hs1-834228961_62-hq-83894_sub_a
INC-0085,1947-07-12,day,afternoon,1200,"Elmendorf Field, Alaska",USA,balloon,10 feet,grayish,1,following contours,,visual,several,military-other,USAF,1,1,1,unexplained,high,Object observed following contours of mountains.,65_hs1-834228961_62-hq-83894_serial_130
INC-0086,1947-07-15,day,night,,"Seattle, Washington",USA,disc,28 inch,"light gray outside, red inside",1,landed; burning,,visual,1,civilian,FBI,1,1,1,explained,high,"Report of a flying disc landing on a roof in Seattle, WA.",65_hs1-834228961_62-hq-83894_section_1
INC-0087,1947-07-20,day,morning,0945,"Cumberland, Maryland",USA,circular,,silver white,1,high speed,,visual,1,civilian,USAF,1,1,1,unexplained,high,Circular object observed moving at high speed.,65_hs1-834228961_62-hq-83894_serial_130
