doc_id,agency,date,date_precision,location,country,encounter_type,entity_count,entity_height,entity_appearance,entity_clothing,entity_behavior,communication_method,communication_content,claimant_type,claimant_firsthand,document_stance,physical_effects,pages,quote,confidence,summary
hearing-2024-11-13-house-oversight,U.S. House Committee on Oversight and Accountability,,unknown,Pacific Ocean,unknown,close-approach,,,large equilateral-triangle with three bright points at each bottom corner,,slowly rotate on its horizontal access,none,,military,False,recorded-no-comment,electronic device malfunctions,41,large equilateral-triangle UAP suddenly appears directly over the ships,medium,"A large equilateral-triangle UAP appeared directly over ships at night in the Pacific Ocean, observed by vessels engaged in SIGINT and MASINT collection."
hearing-2024-11-13-house-oversight,U.S. House Committee on Oversight and Accountability,,unknown,Eastern Air Defense Sector,USA,close-approach,,,"multiple metallic orbs, slightly smaller than a sedan",,"accelerated at rapid speed, intercepted and boxed in the F-22",none,,military,False,recorded-no-comment,unable to establish radar locks,41,boxed in by approximately three to six UAPs,medium,An F-22 fighter was intercepted and boxed in by multiple metallic orbs while performing an airspace surveillance mission.
hearing-2024-11-13-house-oversight,U.S. House Committee on Oversight and Accountability,,unknown,off the coast of Kuwait,Kuwait,close-approach,,,white orb,,"coming out of the ocean, joined by another orb",none,,military,False,recorded-no-comment,none,19,white orb UAP coming out of the ocean,medium,"A white orb UAP was filmed coming out of the ocean off the coast of Kuwait, later joined by a second orb."
odni-2021-preliminary-assessment,Office of the Director of National Intelligence,,,,,close-approach,,,,,,none,,military,False,debunked,,4; 5,"we identified the object as a large, deflating balloon",high,"A reported UAP incident identified as a large, deflating balloon."
059uap00013,Department of State,2023-09-12,day,Mexican Congress,Mexico,occupant-report,,,mummified humanoid-like figure,,,none,,contactee-figure,False,debunked,,5; 6,Mexican journalist Jaime Maussan presented the alleged remains of non-human beings to Congress.,high,"Mexican journalist Jaime Maussan presented two alleged alien corpses to the Mexican Congress during a hearing on UAP, which were subsequently discredited by scientists."
18_100754_general_1946-7_vol_2,,,,,,entity-sighted,,,,,,none,,unknown,False,investigated,,24,,low,"A report of flying discs sighted by a radar station in Japan, mentioned by Dr. Charles Carroll."
18_100754_general_1946-7_vol_2,,,,,Mexico,claimed-contact,,,,,,none,,civilian,False,dismissed,,18; 19; 20; 21,Flying Discs are being fired from a locality in Central Mexico from a laboratory which is being operated by the Russians.,medium,Mrs. Madeline Gwynne Merchant claims flying discs are being fired from a laboratory in Central Mexico operated by Russians to target U.S. atomic and aircraft installations.
18_6369445_general_1948_vol_1,Department of War,1948-05-08,day,"Hobson, Ohio",USA,close-approach,,,,,,none,,civilian,False,recorded-no-comment,phosphorescent trail,2; 3,"round, phosphorescent... Great amount of speed",medium,"Four witnesses observed a round, phosphorescent object with a phosphorescent trail moving at great speed at an altitude of 6 to 8 miles."
18_6369445_general_1948_vol_1,Department of War,1948-03-05,day,"Bakersfield, California",USA,close-approach,,,,,,none,,civilian,False,investigated,smoke and debris trailing,16,Description of objects similar to falling aircraft with smoke and debris trailing.,medium,Witnesses reported two objects falling to earth resembling aircraft with smoke and debris trailing.
18_6369445_general_1948_vol_1,Department of War,1948-03-08,day,"Bakersfield, California",USA,close-approach,,,,,,none,,civilian,False,investigated,fire; red and black smoke trailing,16,One object seemed to be on fire with red and black smoke trailing behind.,medium,"Witness reported two objects falling to earth north of Bakersfield, one appearing to be on fire with red and black smoke trailing."
255_413270_ufo's_and_defense_what_should_we_prepare_for,NASA,1965-07-01,day,Valensole,France,occupant-report,,,two small beings,,,none,,civilian,True,investigated,depression in ground; cylindrical hole; dried up lavender,24,"Maurice Masse indicated that he was totally immobilized in place, numbed and paralyzed",high,Maurice Masse observed a craft land in his lavender field and encountered two small beings who paralyzed him with a tube-like device.
255_413270_ufo's_and_defense_what_should_we_prepare_for,NASA,1967-08-29,day,Cussac,France,occupant-report,4,1.20 m,"small black beings, height not exceeding 1.20 m",none,,none,,civilian,True,investigated,sulfur odor; physiological disorders; eye irritation,24; 25,small black beings whose height did not exceed 1.20 m,high,Two children observed four small beings and a sphere; the beings used a mirror-like object to blind them.
255_413270_ufo's_and_defense_what_should_we_prepare_for,NASA,1989,year,Astrakhan,Russia,close-approach,,,three bright disks,,"hovering to high speed, silent, evasive",none,,military,False,investigated,engine stall,50,,medium,"Military personnel at an Astrakhan missile base observed three bright disks performing extraordinary maneuvers, including hovering and high-speed flight without noise, and outmaneuvering a fighter jet."
255_413270_ufo's_and_defense_what_should_we_prepare_for,NASA,1990-03-21,day,Pereslav-Zalesski,Russia,close-approach,,,silent discoid object,,hovering to supersonic speed,none,,military,False,investigated,,50,,medium,"A silent discoid object was observed by multiple witnesses and radar, performing maneuvers at speeds two or three times faster than a modern fighter jet."
255_413270_ufo's_and_defense_what_should_we_prepare_for,NASA,2001-01-26,day,Barnaul airport,Russia,close-approach,,,luminescent object,,hovering,none,,civilian,False,recorded-no-comment,,93,,high,"A luminescent object hovered above the runway of Barnaul airport, causing cargo aircraft crews to refuse takeoff and landing."
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents,Department of War,1945-03-01,day,vicinity F-5710,Germany,close-approach,,,,,,none,,pilot-civilian,True,investigated,deflated; red flame,3; 6; 7; 9,"An aluminum coloured cylinder shaped object, about 12 feet long and 1 foot in diameter was observed floating in the air",high,"A 107th P.R. Squadron pilot reported a long cylindrical object, 12 feet long and 1 foot in diameter, floating vertically at 9,000 feet. The object had small fins and a mast. It was attacked, partially deflated, and emitted a red flame without smoke."
341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399,Department of War,1948,year,a lake in Sweden,Sweden,physical-trace,,,,,,none,,civilian,False,investigated,uncharted crater on lake floor,5,these phenomena are obviously the result of a high technical skill which cannot be credited to any presently known culture on earth,medium,A Swedish technical expert observed a flying saucer crash or land in a lake; a subsequent naval salvage operation discovered an uncharted crater on the lake floor.
341_110677_numerical_file_5-2500,Department of War,1955-10-04,day,Between Atjaty and Adzhijabul,USSR,close-approach,2,,"Round, circular, disc-shaped, resembling a discus; outer surface revolved slowly clockwise; two stationary lights on top.",,"Ascended almost vertically at slow speed to 6000 feet, then increased speed sharply in horizontal flight heading north.",none,,government-civilian,True,investigated,sparks or flame from aircraft; searchlight beams pointing vertically,2; 3; 4; 5,Two round and circular unconventional aircraft resembling flying discs or flying saucers were seen taking off almost vertically one minute apart.,high,"Three U.S. observers, including Senator Richard Russell, witnessed two unconventional disc-shaped aircraft take off vertically near a rail line in the Trans Caucasus region of the USSR."
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1950-01-06,day,"Kansas City and Olathe, Kansas",USA,close-approach,2,,"spherical, brilliant white, orange and red flashes",,,none,,civilian,False,recorded-no-comment,,1,They appeared to be the size of old fashioned street lights about two blocks distant.,medium,"Two spherical objects sighted over Kansas City and Olathe, Kansas, motionless for 10-15 minutes before moving off fast."
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-09-20,day,"Griffiss Air Force Base, Rome, New York",USA,close-approach,1,,"silvery or aluminum, cylindrical",,slow descent into overcast,none,,military,True,recorded-no-comment,flame exhaust,3; 4; 5; 6,The flame appeared more than twice the length of the object.,high,"Cylindrical object with orange and white flame exhaust sighted by pilot at 20,000 feet."
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-08-22,day,"Seattle, Washington",USA,close-approach,1,10-15 feet,"circular, shiny aluminum",,,none,,military,True,recorded-no-comment,,9; 10,bore no resemblance to any aircraft they had ever seen before,high,"Circular shiny aluminum object sighted over Seattle, Washington."
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-07-26,day,"Spokane, Washington",USA,close-approach,8,,dish shaped,,,none,,civilian,False,recorded-no-comment,,15; 16,"formation of eight (8) dish shaped objects, each larger than a B-29",medium,Formation of eight dish-shaped objects sighted above a B-29.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-08-08,day,"Medford, Oregon",USA,close-approach,1-7,,shiny,,"maneuvered horizontally, formation flying",none,,civilian,False,recorded-no-comment,,18; 19; 20,distinguish wings on the objects but no further identification could be detected,medium,Multiple shiny objects sighted maneuvering horizontally.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-07-30,day,"Portland, Oregon",USA,close-approach,1,,two red lights and one white light,,"followed aircraft, turned to southeast",none,,civilian,True,recorded-no-comment,,25; 26,appeared to pull away from him quite easily,high,Object with red and white lights followed an airline flight.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-07-24,day,"Mountain Home, Idaho",USA,close-approach,7,,"delta wings, dark circular structure on bottom",,"V-formation, 180 degree turn",none,,civilian,True,recorded-no-comment,,28; 29; 30,dark circular bulge on the bottom side of the objects,high,Seven delta-wing objects in V-formation with dark circular structure on bottom.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-07-19,day,"Columbus, Ohio",USA,close-approach,1,,"flying wing, swept back wings, luminous",,,none,,civilian,False,recorded-no-comment,,32; 33,Humming noise instead of rushing noise,medium,Flying wing type object with luminous appearance.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-06-10,day,"Boston, Massachusetts",USA,close-approach,1,100 feet long,"tubular, white",,,none,,military,True,recorded-no-comment,,37; 38; 39; 40,Glint of light on canopy,medium,Tubular white object sighted by pilot.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-05-02,day,"Elko, Nevada",USA,close-approach,3,30 feet diameter,flying discs,,,none,,civilian,False,recorded-no-comment,,43; 44,appeared to be three flying discs,medium,"Three flying discs sighted near Elko, Nevada."
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-02-11,day,"Curling, Newfoundland",Canada,close-approach,1,,"burning object, flaming exhaust",,,none,,civilian,False,recorded-no-comment,,71; 73,flaming exhaust estimated to be two hundred yards long,medium,Burning object sighted by two witnesses.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-02-06,day,San Andres Islands,Nicaragua,close-approach,3,12-14 inches diameter,"round, silver-colored sphere",,,none,,civilian,False,recorded-no-comment,,75; 77,changed color from silver to yellow to red,medium,Three aerial objects sighted by ship officers.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-02-07,day,"Fort Knox, Kentucky",USA,close-approach,1,,"bright green, yellow, red",,rotating,none,,military,True,recorded-no-comment,,79; 80; 81,disappeared in SW completely after a series of bright flashes,high,Bright rotating object sighted by weather observers.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-01-01,day,"Jackson, Mississippi",USA,close-approach,1,60 feet long,"cigar-shaped, dark blue or black",,,none,,civilian,True,recorded-no-comment,,116; 117; 120; 132; 133; 136,Cigar like. Not unlike sleeve target.,high,Cigar-shaped object sighted by pilot.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1948-11-17,day,"Alberta, Canada",Canada,close-approach,1,50 feet,"egg shaped with tail, bright flaming orange",,,none,,military,True,recorded-no-comment,,121; 141,Bright flaming orange,high,Egg-shaped object with tail sighted by radio operator.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1948-12-11,day,"Martinsburg, West Virginia",USA,close-approach,1,,"brilliant flare, red to blue to red",,,none,,military,True,recorded-no-comment,,122; 124; 126; 128,Object appeared as a brilliant flare in the sky.,high,Brilliant flare-like object sighted by pilot.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1948-12-08,day,"Chanute Air Force Base, Illinois",USA,close-approach,1,,"round, bright white",,,none,,military,True,recorded-no-comment,,137; 138; 139; 140,three or four times as large as a star,high,Bright white round object sighted by weather observers.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1949-01-04,day,"Hickam Field, Hawaii",USA,close-approach,1,size of AT-6,"round, flat white cardboard, dark top",,"oscillating, circling",none,,military,True,recorded-no-comment,,90; 91; 92; 93; 94; 95; 97; 98,"large round piece of flat white cardboard, oscillating continually",high,White cardboard-like object sighted by AACS officer.
342_hs1-416511228_box186_319.1-flying-discs-1949,Department of War,1948-12-03,day,"Fairfield-Suisun AFB, California",USA,close-approach,1,30 inches diameter,"round light, colorless white",,"undulating, vertical climb",none,,military,True,recorded-no-comment,,99; 100; 101; 103; 104; 105; 106; 107; 108; 109; 110; 111; 112; 113; 114,brilliant but by no means blinding,high,Illuminated object sighted over Fairfield-Suisun AFB.
38_143685_box7_incident_summaries_1-100,Department of War,1947-07-07,day,"Muroc Army Air Field, California",USA,close-approach,,,yellowish-white sphere,,oscillating in a forward whirling movement,none,,military,True,recorded-no-comment,,9; 10,oscillating in a forward whirling movement without losing altitude,high,"Major J. C. Wise observed a yellowish-white spherical object, 5-10 feet in diameter, oscillating in a forward whirling movement."
38_143685_box7_incident_summaries_1-100,Department of War,1947-07-08,day,"Rogers Dry Lake, California",USA,close-approach,,,"silvery, ovular, two projections on upper surface",,rotation or oscillation,none,,military,True,recorded-no-comment,,11; 12,"presented a distinct ovular outline, with two (2) projections on the upper surface",high,"Captain John Paul Strapp observed a silvery, ovular object with two projections on the upper surface, suggesting rotation or oscillation."
38_143685_box7_incident_summaries_1-100,Department of War,1947-06-24,day,"Mt. Rainier, Washington",USA,close-approach,,,"mirror-like, circular, 45-50 ft span",,swerved in and out of high mountain peaks,none,,pilot-civilian,True,recorded-no-comment,,36; 37,chain of 9 peculiar looking craft,high,"Kenneth Arnold observed a chain of 9 mirror-like, circular craft flying in a diagonal chain-like line."
38_143685_box7_incident_summaries_1-100,Department of War,1947-07-04,day,"Emmett, Idaho",USA,close-approach,,,"thin and smooth on bottom, rough on top",,loose formation,none,,pilot-civilian,True,recorded-no-comment,,25; 26,thin and smooth on the bottom and rough appearing on top,high,"Capt. E. J. Smith and crew observed nine flying discs near Emmett, Idaho, described as thin and smooth on the bottom and rough on top."
38_143685_box7_incident_summaries_1-100,Department of War,1948-01-07,day,"Godman Field, Kentucky",USA,close-approach,,,"metallic, circular, tremendous size",,"climbing, moving at high speed",none,,military,True,recorded-no-comment,,65; 66; 67; 68; 71; 72; 73; 74; 75; 76; 77; 78,appears metallic of tremendous size,high,"Capt. Thomas F. Mantell and other observers tracked a large, metallic, circular object that climbed and moved at high speed."
38_143685_box7_incident_summaries_101-172,Department of War,1948-02-18,day,"Stockton, Kansas",USA,close-approach,,,"funnel-shaped, 4 feet long",,"hovered, wobbled, belched fire, showered sparks",none,,civilian,True,investigated,heat; fire,5,"The thing was about 4' long, shaped something like a funnel.",high,"Leland Sammons observed a funnel-shaped object hovering near his house, which wobbled, emitted fire, and showered sparks before departing rapidly."
38_143685_box7_incident_summaries_101-172,Department of War,1948-04-01,day,Unknown,USA,close-approach,,,"silver, half-moon shape, dorsal fin",,"leveled out, accelerated rapidly",none,,military,True,investigated,,34,"The object appeared to be a flying wing aircraft, its shape resembled a half moon.",high,"Lt. Meyers observed a silver, half-moon shaped flying wing aircraft that performed rapid maneuvers and disappeared."
38_143685_box7_incident_summaries_101-172,Department of War,1948-04-09,day,"Montgomery, Alabama",USA,close-approach,,,"silver, parachute-like top, dark cable, silver canister",,flew away on a horizontal plane,none,,military,True,investigated,,49; 50; 51,"Top part of the object approximately eight feet in diameter, silver in color, had the appearance of a parachute.",high,"Lt. Col. Robert B. Hughes observed a silver, parachute-like object with a canister suspended by a cable."
38_143685_box7_incident_summaries_101-172,Department of War,1948-04-11,day,"Alton, Illinois",USA,entity-sighted,,,"huge fowl, bigger than an airplane",,flying,none,,civilian,True,recorded-no-comment,,74; 75,Resembled a huge fowl and not a type of aircraft,medium,Col. W. F. Siegmund observed a creature resembling a huge fowl that was bigger than an airplane.
38_143685_box7_incident_summaries_101-172,Department of War,1948-05-28,day,"6 miles east of Monroe, Michigan",USA,close-approach,5,300 to 400 ft,"silvery-gold, hazy or fuzzy outline",,"maintained smooth track, abrupt turns",none,,military,True,recorded-no-comment,,94,Objects maintained smooth track thru sky,high,Lt Kokolonis observed 5 silvery-gold disc-shaped objects flying in a stepped-up formation at high speed.
38_143685_box7_incident_summaries_101-172,Department of War,1948-05-28,day,"6 miles due east of Monroe, Michigan",USA,close-approach,2,4 feet,"shiny brass, round",,pursued straight course,none,,military,True,recorded-no-comment,,95,Appeared to be four feet in diameter,high,"M/Sgt Ernest Davis, Jr. observed 2 shiny brass round objects flying a straight course."
38_143685_box7_incident_summaries_101-172,Department of War,1948-08-15,month,"Weaver, S.D.",USA,close-approach,12,100+ ft,"yellowish-white, brilliant, elliptical",,tight diamond-shaped formation,none,,military,True,recorded-no-comment,,96,tight diamond-shaped formation,high,"Maj Elmer H. Hammer, Jr. observed 12 elliptical yellowish-white objects in a tight diamond formation."
38_143685_box7_incident_summaries_101-172,Department of War,1948-07-08,day,"Columbus, Ohio",USA,close-approach,2,,"silver, cigar-shaped, blunt front",,bobbed up and down,none,,civilian,True,investigated,,102; 104; 105,looked like something going through air currents,high,"Mrs. Wilda Zittak observed 2 silver, cigar-shaped objects through binoculars that bobbed up and down."
38_143685_box7_incident_summaries_101-172,Department of War,1948-07-24,day,"20 miles south of Montgomery, Ala",USA,close-approach,1,100 ft,"cigar-shaped, two rows of windows, blue glow underneath, shooting flame from rear",,pulled up into clouds,none,,civilian,True,recorded-no-comment,,114; 118,"two rows of windows, which indicated an upper and lower deck",high,Pilot Clarence Shipe Chiles and Co-Pilot John B. Whitted observed a cigar-shaped craft with two rows of windows and a blue glow underneath.
38_143685_box7_incident_summaries_101-172,Department of War,1948-07-09,day,"Fielding Lake, Alaska",USA,close-approach,20,,"grayish-black, spheroid or disc-shaped",,jockeyed back and forth in shotgun blast pattern,none,,military,True,recorded-no-comment,,121; 122,jockeyed back and forth in the group formation,high,1st Lt Dominick J. Caramia and Thomas B. Carpenter observed approximately 20 grayish-black spheroid or disc-shaped objects.
38_143685_box7_incident_summaries_101-172,Department of War,1948-08-11,day,"Hamel, Minnesota",USA,landing,1,2 feet,"dull gray, round, metallic",,"landed, spun, whistled, maneuvered around wires",none,,civilian,False,investigated,ground dented; rocks leveled,158; 159,settled to the ground gently - much as a balloon,high,"Two children observed a dull gray, round object land in their backyard, spin, whistle, and maneuver around wires."
38_143685_box7_incident_summaries_101-172,Department of War,1948-07-31,day,"Indianapolis, Indiana",USA,close-approach,1,6 to 8 ft,"flat white, cymbal-shaped",,"shimmered, appeared to spin",none,,civilian,True,investigated,,135; 136,shaped like a cymbal with smooth surfaces,high,"Mr. and Mrs. Vernon Swigert observed a white, cymbal-shaped object that shimmered and appeared to spin."
38_143685_box7_incident_summaries_173-233,Department of War,1947-10,month,"Golden Gate Park, San Francisco, Calif",USA,physical-trace,,,,,,none,,civilian,True,dismissed,bruise,18; 19,He felt something like an electric arc which seemed to have the power to lower his hand like a sack of shot,low,"Observer reported a mysterious light in Golden Gate Park that illuminated the ocean and caused a physical sensation like an electric arc, resulting in a new bruise on his hand."
38_143685_box7_incident_summaries_173-233,Department of War,18 Nov 1948,day,"Andrews AF Base, Camp Springs, Md",USA,close-approach,1,,"oval, dull gray/whitish-grey, no wings or tail",,"evasive, tight circles, vertical climbs, high acceleration",none,,military,True,investigated,dull glow,83; 84; 85; 86,Object was highly maneuverable.,high,"Lt. Jackson and Lt. Combs reported an oval object with no wings or tail circling Andrews AF Base for 15-18 minutes, performing evasive maneuvers and vertical climbs."
38_143685_box7_incident_summaries_173-233,Department of War,12 Nov 1948,day,"Clark AF Base, Philippine Islands",Philippines,close-approach,1,,"snow-white, straight body tapering to a point, no tail, windows",,"reconnaissance, flying through clouds",none,,military,True,dismissed,exhaust trail,81; 82,It appeared to be sky writing,medium,"Sgt. Wright observed a snow-white, wingless object with a straight body tapering to a point, appearing to have windows, flying intermittently through clouds."
38_143685_box7_incident_summaries_173-233,Department of War,1 Jan 1949,day,"Jackson, Mississippi",USA,close-approach,1,,"cigar-shaped, dark blue or black, 60ft long, 10ft wide",,"accelerated, made 50 degree turn",none,,civilian,True,investigated,,138; 139,"as the object made its turn, it was then that I noticed the object didn't have wings.",high,Mr. and Mrs. Tom Rush observed a dark blue/black cigar-shaped object without wings that crossed their flight path and accelerated.
65_hs1-101634279_100-de-26505,FBI,1944,year,Gut Alt Golssen,Germany,close-approach,,,"circular vehicle, 75-100 yards in diameter, 14 feet high, with a rapidly moving middle section",,rose vertically to clear a 50-foot wall and moved horizontally,none,,civilian,True,recorded-no-comment,engine stall; high-pitched whining noise,9; 10; 13,vehicle was observed to slowly rise vertically to a height sufficient to clear the wall,high,"Wladyslaw Krasuski, a former POW, reported observing a large circular vehicle in 1944 near Gut Alt Golssen, Germany, which rose vertically from an enclosure. He noted that tractor engines stalled in the area when a high-pitched whining noise was present."
65_hs1-834228961_62-hq-83894_section_1,FBI,1947-07-06,day,"Grafton, Wisconsin",USA,physical-trace,0,none,none,none,none,none,,civilian,True,debunked,mild explosion; heat,2; 24; 46; 48; 49; 50; 56,"The object still was warm, weighed about four or five pounds and was about one eighth of an inch thick",high,"A Catholic priest in Grafton, Wisconsin, reported a metal disc crashed into his yard, which he held for the FBI; it was later identified as a circular saw blade with wires and tubes attached."
65_hs1-834228961_62-hq-83894_section_1,FBI,1947-07-04,day,"St. Maries, Idaho",USA,landing,8,size of a five-room house,none,none,fluttered like leaves to the ground,none,,civilian,False,recorded-no-comment,,4; 50; 52,fluttered like leaves to the ground,medium,"An Idaho housewife reported seeing a fleet of eight saucer-shaped objects land on a mountainside near St. Maries, Idaho."
65_hs1-834228961_62-hq-83894_section_1,FBI,1947-07-07,day,"Omaha, Nebraska",USA,physical-trace,0,none,none,none,none,none,,civilian,True,debunked,extreme heat; scorch marks,11; 13; 14; 15,burning with extreme heat,high,"A resident of Omaha, Nebraska, reported a flaming, solid circular disc dropped in the street in front of his house, burning with extreme heat."
65_hs1-834228961_62-hq-83894_section_1,FBI,1947-07-07,day,"Shreveport, Louisiana",USA,physical-trace,0,none,none,none,whirling,none,,civilian,False,recorded-no-comment,fire; smoke,72,DISC WHIRLING WHEN SEEN IN AIR AND FIRE SEEN SPOUTING FROM SIDES,high,"A resident of Shreveport, Louisiana, reported a circular disc whirring in the air with fire spouting from its sides before landing."
65_hs1-834228961_62-hq-83894_section_1,FBI,1947-07-11,day,"Twin Falls, Idaho",USA,physical-trace,0,none,none,none,none,none,,civilian,False,recorded-no-comment,burned wiring,79,"A disc 30½"" in diameter, circular in shape, it is dished like a saucer",high,"A resident of Twin Falls, Idaho, reported finding a circular disc with a plastic dome and radio tubes in a neighbor's yard."
65_hs1-834228961_62-hq-83894_section_1,FBI,1947-07-09,day,"North Hollywood, California",USA,physical-trace,,,,,,none,,civilian,False,debunked,flames; ground traces,94,definitely a hoax,high,"A 'flying disc' reported to have landed in a garden, burst into flames, and was extinguished by the fire department."
